"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"NR_045463"	0	1	0.242365672023867	0.242147995120795	423.20522545295	1747.74440631598
"NR_015545"	0	1	0.270606752907987	0.270395643042408	475.084965177655	1757.02631845555
"NR_131015"	0	1	0.281947191649668	0.281678317344224	377.730554040697	1341.02525469119
"NR_027944"	0	1	0.297901694398958	0.297600826212468	590.272004266101	1983.45897009176
"NR_036596"	0	1	4.82385260471389	4.84732877797122	396.459174558453	81.7812695256437
"NM_001162896"	0	1	4.08384984006283	4.08575833553726	3315.17581662038	811.39036790366
"NR_040735"	0	1	0.289555982185948	0.289239343597706	325.869093912489	1126.66623242066
"NR_130993"	0	1	0.255997799892094	0.255324238316504	143.412236408352	561.715895488868
"NR_045194"	0	1	0.263266492001611	0.263108711881502	616.906634308512	2344.71142673237
"NR_045809"	0	1	0.259328463583267	0.2586690297749	145.882172658793	564.000978762134
"NR_033593"	0	1	0.258443198175416	0.258312818300083	747.139222204742	2892.41023342712
"NM_172450"	0	1	3.81857558680522	3.82005222247396	3661.48750782919	958.48409761679
"NR_030689"	0	1	3.94743423692608	3.96285208783663	380.408173932315	95.986056754162
"NR_040514"	0	1	0.25218104184446	0.251174373162366	93.6854177555853	373.019368306687
"NR_045462"	0	1	4.17128637250006	4.18230880120002	604.227076761289	144.464524833728
"NM_001204904"	0	1	4.32355210222812	4.33935028066499	775.922493915994	178.803058114563
"NR_040400"	0	1	0.215943365549905	0.215259215531402	125.444248672312	582.795471824322
"NR_110476"	0	1	0.226375648677799	0.225197890746372	74.2699365532326	329.832949714347
"NR_073011"	0	1	3.92954155389677	3.94011695354803	927.707483056651	235.444300974811
"NR_073429"	0	1	0.225718440187068	0.225418663392623	292.353994537733	1296.97220252734
"NR_045070"	0	1	0.262116136913124	0.261680378378463	222.498385065354	850.295958911235
"NM_173435"	0	1	4.32058015962755	4.32399600515937	2110.72708775025	488.135013369977
"NM_025737"	0	1	0.252110976675845	0.251685468466866	222.12677851842	882.586758055041
"NR_040593"	0	1	0.226389247038156	0.225883970084856	173.654692588282	768.812561968622
"NM_001166394"	0	1	0.242018977674697	0.241755176124348	590.409270846173	2442.20977089122
"NM_183104"	0	1	0.247191786429791	0.246953308790351	391.447524809468	1585.13792422479
"NM_183113"	0	1	0.241114509911479	0.240985099556788	709.617641258603	2944.68509759619
"NR_033580"	0	1	0.242583681202698	0.242197509423399	238.52763509757	984.878885378956
"NM_172901"	0	1	0.238876057607961	0.238513256936076	251.255542524362	1053.45573080298
"NR_045849"	0	1	0.229355504265087	0.228949947240024	218.451952907593	954.180885567508
"NR_045372"	0	1	0.27401491607041	0.273761057964309	393.124759601776	1436.04070248169
"NR_015575"	0	1	0.271017375302711	0.270436613700025	288.518371945859	1066.8883315473
"NR_027843"	0	1	0.260034641938656	0.259501268543257	305.991304773247	1179.18001510483
"NR_040685"	0	1	0.26072511621682	0.260310728582726	233.187743693272	895.833767035375
