PPEE	PPDE
NM_001146024	0	1
NM_001146045	0	1
NM_001146100	0	1
NM_001146161	0	1
NM_001146174	0	1
NM_001146196	0	1
NM_001146212	0	1
NM_001146215	0	1
NM_001146293	0	1
NM_001146323	0	1
NM_001146689	0	1
NM_001146710	0	1
NM_001159299	0	1
NM_001159415	0	1
NM_001159417	0	1
NM_001159483	0	1
NM_001159498	0	1
NM_001159502	0	1
NM_001159520	0	1
NM_001159538	0	1
NM_001159581	0	1
NM_001159633	0	1
NM_001159683	0	1
NM_001159729	0	1
NM_001159743	0	1
NM_001159910	0	1
NM_001159940	0	1
NM_001160097	0.000466065279983163	0.999533934720017
NM_001160137_1	0	1
NM_001160149	0	1
NM_001160150	0	1
NM_001160150_1	0	1
NM_001160150_2	0	1
NM_001160151	0	1
NM_001160151_1	0	1
NM_001160151_2	0	1
NM_001160152	0	1
NM_001160152_1	0	1
NM_001160152_2	0	1
NM_001160181	0	1
NM_001160220	0	1
NM_001160265	0	1
NM_001161373	0	1
NM_001161374	0	1
NM_001161419	0	1
NM_001161730	0	1
NM_001161770	0	1
NM_001161796	0	1
NM_001161797	0	1
NM_001161816	0	1
NM_001161825	0	1
NM_001162417	0	1
NM_001162863	0	1
NM_001162880	0.0184298131688883	0.981570186831112
NM_001162896	0	1
NM_001162903	0	1
NM_001162917	0	1
NM_001162924	0	1
NM_001162970	0	1
NM_001162998	0	1
NM_001163042	0	1
NM_001163126	0	1
NM_001163141	0	1
NM_001163195	0	1
NM_001163195_1	0	1
NM_001163215	0	1
NM_001163263	0	1
NM_001163394	0	1
NM_001163420	0	1
NM_001163431	0	1
NM_001163467	0	1
NM_001163473	0	1
NM_001163501	0	1
NM_001163504	0	1
NM_001163507	0	1
NM_001163516	0	1
NM_001163528	0	1
NM_001163570	0	1
NM_001163572	0	1
NM_001163622	0	1
NM_001163625	0	1
NM_001163642	0	1
NM_001163663	0	1
NM_001163668	0	1
NM_001163721	0	1
NM_001163819	0	1
NM_001163820	0	1
NM_001164056	0	1
NM_001164110	2.42134687411522e-07	0.999999757865313
NM_001164139	0	1
NM_001164147	0	1
NM_001164148	0	1
NM_001164149	0.000129487878411383	0.999870512121589
NM_001164151	0	1
NM_001164152	0	1
NM_001164237	0	1
NM_001164243	0	1
NM_001164292	0.0245896429137903	0.97541035708621
NM_001164337	0	1
NM_001164367	0	1
NM_001164401	0.0346105728839251	0.965389427116075
NM_001164402	0.0140575887194865	0.985942411280514
NM_001164403	0.00644614308562208	0.993553856914378
NM_001164411	3.4515959523862e-07	0.999999654840405
NM_001164413	0	1
NM_001164414	0	1
NM_001164472	0	1
NM_001164523	0	1
NM_001164620	0	1
NM_001164642	0	1
NM_001164676	0	1
NM_001164682	0.00222304868763423	0.997776951312366
NM_001164697	7.31471261293803e-05	0.999926852873871
NM_001164708	0	1
NM_001164729	0	1
NM_001166173	0	1
NM_001166282	0	1
NM_001166360	0	1
NM_001166361	0	1
NM_001166364	0	1
NM_001166394	0	1
NM_001166497	0	1
NM_001166507	0	1
NM_001166542	0.00018578921206025	0.99981421078794
NM_001166601	1.30076558968462e-07	0.999999869923441
NM_001166601_1	1.30076558968462e-07	0.999999869923441
NM_001166631	0	1
NM_001166644	0	1
NM_001166646	1.30076558968462e-07	0.999999869923441
NM_001166646_1	1.30076558968462e-07	0.999999869923441
NM_001166665	0	1
NM_001166710	0	1
NM_001166718	0	1
NM_001166735	0	1
NM_001166742_1	0	1
NM_001166742_2	0	1
NM_001167146	0	1
NM_001167146_1	0	1
NM_001167147	0	1
NM_001167147_1	0	1
NM_001167150	0	1
NM_001167150_2	0	1
NM_001167151	0	1
NM_001167151_2	0	1
NM_001167573	0	1
NM_001167573_1	0	1
NM_001167757	0	1
NM_001167776	0	1
NM_001167832	0	1
NM_001167876	0	1
NM_001167976	0	1
NM_001167991	0	1
NM_001168226	0	1
NM_001168229	0	1
NM_001168244	0	1
NM_001168270	0	1
NM_001168334_1	1.08634235820304e-05	0.999989136576418
NM_001168475	3.8517103046587e-05	0.999961482896953
NM_001168505	0	1
NM_001168506	0	1
NM_001168535	0	1
NM_001168679	0	1
NM_001169576	0	1
NM_001170431	0	1
NM_001170785	0	1
NM_001170918	0	1
NM_001171616	0	1
NM_001171640	0	1
NM_001171680	0	1
NM_001172054	0	1
NM_001172070	5.22054345308831e-08	0.999999947794565
NM_001172073	0	1
NM_001172104	0	1
NM_001172107	0	1
NM_001172216	0	1
NM_001174170	0	1
NM_001177307	0	1
NM_001177347	0	1
NM_001177367	0	1
NM_001177372	0	1
NM_001177401	0	1
NM_001177524	0	1
NM_001177535	5.55111512312578e-16	1
NM_001177535_1	5.55111512312578e-16	1
NM_001177535_2	5.55111512312578e-16	1
NM_001177535_3	5.55111512312578e-16	1
NM_001177535_4	5.55111512312578e-16	1
NM_001177538	4.55191440096314e-15	0.999999999999995
NM_001177538_1	4.55191440096314e-15	0.999999999999995
NM_001177538_2	0	1
NM_001177539	0	1
NM_001177539_1	4.55191440096314e-15	0.999999999999995
NM_001177539_2	4.55191440096314e-15	0.999999999999995
NM_001177546	0	1
NM_001177565	0	1
NM_001177578	0.00398243032947454	0.996017569670525
NM_001177578_1	3.49866335902504e-09	0.999999996501337
NM_001177578_2	0.00398243032947454	0.996017569670525
NM_001177594	0	1
NM_001177730	0	1
NM_001177756	0	1
NM_001177771	0	1
NM_001177774	0	1
NM_001177799	0	1
NM_001177882	0	1
NM_001177888	0	1
NM_001177958	0.000192359029334122	0.999807640970666
NM_001177974	0	1
NM_001177981	0	1
NM_001178049	0	1
NM_001185084	0	1
NM_001190179	0	1
NM_001190451	0	1
NM_001193271	0	1
NM_001194940	0	1
NM_001195046	0	1
NM_001195390	0	1
NM_001195760	0	1
NM_001198587	0	1
NM_001198787	0	1
NM_001198789	0	1
NM_001198912	0	1
NM_001199004	0	1
NM_001199115	0	1
NM_001199124	0	1
NM_001199265	0	1
NM_001199955	0	1
NM_001200004	8.51809733859454e-11	0.999999999914819
NM_001201323	0	1
NM_001201460	0	1
NM_001202445	0	1
NM_001204904	0	1
NM_001204906	0	1
NM_001204915	0	1
NM_001204916	0	1
NM_001205032	0	1
NM_001205034	0	1
NM_001205049	0	1
NM_001205132	0	1
NM_001205214	1.82167529949595e-08	0.999999981783247
NM_001205215	7.43849426498855e-15	0.999999999999993
NM_001205216	1.39506783902732e-09	0.999999998604932
NM_001206383	0	1
NM_001242379	0.0360952327019266	0.963904767298073
NM_001242606	0	1
NM_001242615	0	1
NM_001243001_1	0	1
NM_001243001_3	0	1
NM_001243011	0.024139888177398	0.975860111822602
NM_001243011_1	0	1
NM_001243032	0	1
NM_001243040	0	1
NM_001243053	0	1
NM_001243075	0	1
NM_001243712	0	1
NM_001243742	0	1
NM_001243758	0	1
NM_001243888	0	1
NM_001252055	0	1
NM_001252067	0	1
NM_001252071	0	1
NM_001252072	0	1
NM_001252132	0	1
NM_001252316	0	1
NM_001252396	0	1
NM_001252443	0	1
NM_001252466	0	1
NM_001252473	0	1
NM_001252485	0	1
NM_001252501	0	1
NM_001252505	0	1
NM_001252518	0	1
NM_001252552	0	1
NM_001252556	0	1
NM_001252567	0	1
NM_001252578	0	1
NM_001253385	0	1
NM_001253386	0	1
NM_001253685	0	1
NM_001253716	0	1
NM_001253820	0	1
NM_001253878	0	1
NM_001253889	0	1
NM_001253893	0	1
NM_001253894	0	1
NM_001253898	0	1
NM_001254953	0	1
NM_001255977	0	1
NM_001255997	0	1
NM_001256112	0	1
NM_001256117	0	1
NM_001256180	0	1
NM_001256493	0	1
NM_001270496	1.14352971536391e-14	0.999999999999989
NM_001270496_1	1.28785870856518e-14	0.999999999999987
NM_001270496_2	1.28785870856518e-14	0.999999999999987
NM_001270498	1.12071589786211e-08	0.999999988792841
NM_001270498_1	1.33341944152932e-08	0.999999986665806
NM_001270498_2	1.33341944152932e-08	0.999999986665806
NM_001270506	0.000105229381419658	0.99989477061858
NM_001270506_1	0.000105229381419658	0.99989477061858
NM_001270506_2	0.000105229381419658	0.99989477061858
NM_001271017	0	1
NM_001271359	0	1
NM_001271378	0	1
NM_001271414	0	1
NM_001271449	0	1
NM_001271450	0	1
NM_001271461	0	1
NM_001271467	0	1
NM_001271487	0	1
NM_001271500	0	1
NM_001271586	0	1
NM_001271614	0	1
NM_001271758	0	1
NM_001271772	0	1
NM_001271884	0	1
NM_001271917	0	1
NM_001272023	0	1
NM_001276257	0	1
NM_001276278	0	1
NM_001276316	0	1
NM_001276317	0	1
NM_001276328	0	1
NM_001276356	0	1
NM_001276410	0	1
NM_001276461	0	1
NM_001277079	0	1
NM_001277121	0	1
NM_001277122	0	1
NM_001277184	0	1
NM_001277184_1	0	1
NM_001277245	0	1
NM_001277257	0	1
NM_001277289	0.00195102925864088	0.998048970741359
NM_001277321	0	1
NM_001277328	0	1
NM_001277932	0	1
NM_001277954	0	1
NM_001277955	0	1
NM_001277992	0	1
NM_001281969	0	1
NM_001282022	0	1
NM_001282120	0	1
NM_001284248	0	1
NM_001284427	0	1
NM_001285412	0	1
NM_001285470	0	1
NM_001285489	0	1
NM_001285500	0	1
NM_001285513	0	1
NM_001285792	0	1
NM_001285813	0	1
NM_001285833	0	1
NM_001285867	0	1
NM_001285890	0	1
NM_001285899	0	1
NM_001285902	0	1
NM_001285937	0	1
NM_001285948	0	1
NM_001285983	0	1
NM_001286038	0	1
NM_001286168	0	1
NM_001286203	0	1
NM_001286376	1.3798735487569e-09	0.999999998620126
NM_001286395	0	1
NM_001286424	0	1
NM_001286507	0	1
NM_001286560	0	1
NM_001286605	0	1
NM_001286607	0	1
NM_001286610	0	1
NM_001286641	0	1
NM_001286689	0	1
NM_001286720	0	1
NM_001286824	0	1
NM_001286973	0	1
NM_001287180	0	1
NM_001287261	2.31742930911771e-06	0.999997682570691
NM_001288578	0	1
NM_001288612	0	1
NM_001288625	0	1
NM_001289150	0	1
NM_001289574	0	1
NM_001289593	0	1
NM_001289611	0	1
NM_001289668	0	1
NM_001289694	0	1
NM_001289708	0	1
NM_001289729	0	1
NM_001289768	0	1
NM_001289776	0	1
NM_001289803	0	1
NM_001289833	0	1
NM_001289836	0	1
NM_001290278	0	1
NM_001290316	0	1
NM_001290368	0	1
NM_001290370	0	1
NM_001290371	0	1
NM_001290428	0	1
NM_001290484	0	1
NM_001290510	0	1
NM_001290513	0	1
NM_001290542	0	1
NM_001290551	0	1
NM_001290564	0	1
NM_001290652	0	1
NM_001290666	0	1
NM_001290685	0	1
NM_001290701	0	1
NM_001290703	0	1
NM_001290742	0	1
NM_001290812	0	1
NM_001290820	0	1
NM_001291062	0	1
NM_001291064	0	1
NM_001291146	0	1
NM_001291150	0	1
NM_001291159	0	1
NM_001291168	3.94701844508294e-06	0.999996052981555
NM_001291169	0.0274615121757651	0.972538487824235
NM_001291171	1.02593032800247e-05	0.99998974069672
NM_001291177	0.00222586206342235	0.997774137936578
NM_001291178	3.85452836295652e-05	0.99996145471637
NM_001291220	0	1
NM_001291246	0	1
NM_001291247	0.000531243367274059	0.999468756632726
NM_001291349	0	1
NM_001291817	0	1
NM_001291818	0	1
NM_001291865	0	1
NM_001293057	0	1
NM_001293057_1	0	1
NM_001293300	0	1
NM_001293654	0	1
NM_001293667	0	1
NM_001293668	0	1
NM_001293769	0	1
NM_001293774	0	1
NM_001293783	0	1
NM_001294140	0	1
NM_001294150	0	1
NM_001294280	0	1
NM_001300827	0	1
NM_001301034	0	1
NM_001301174	0	1
NM_001301330	0	1
NM_001301364	0	1
NM_001301634	0	1
NM_001301649	0	1
NM_001301831	0	1
NM_001301858	0	1
NM_001302079	0	1
NM_001302333	0.000740466994530231	0.99925953300547
NM_001302386	0	1
NM_001302472	0	1
NM_001302635	0	1
NM_001302795	0.000724263225236332	0.999275736774764
NM_001302963	0	1
NM_001303015	0	1
NM_001303431	0	1
NM_001304553	0	1
NM_001304555	0	1
NM_001305063	0	1
NM_001305132	0	1
NM_001305132_1	0	1
NM_001305136	0	1
NM_001305136_1	0	1
NM_001305421	0	1
NM_001305675	0	1
NM_001305678	0	1
NM_001305941	0	1
NM_001305980	0	1
NM_001306059	0	1
NM_001308052	0	1
NM_001308167	0	1
NM_001308354	0	1
NM_001308486	0	1
NM_001309390	0	1
NM_001309485	0	1
NM_001309519	0	1
NM_001310066	0	1
NM_001310083	0	1
NM_007400	0	1
NM_007434	0	1
NM_007506	0	1
NM_007516	2.6121945650992e-07	0.999999738780543
NM_007553	0	1
NM_007574	0	1
NM_007593	0	1
NM_007647	0	1
NM_007648	0	1
NM_007686	0	1
NM_007752	0	1
NM_007765	0	1
NM_007770	0	1
NM_007812	0	1
NM_007817	0	1
NM_007828	0	1
NM_007841	0.000147001046959971	0.99985299895304
NM_007886	0	1
NM_007914	0	1
NM_007922	0	1
NM_007970	0	1
NM_008007	0	1
NM_008014	0	1
NM_008028	0	1
NM_008037	0	1
NM_008064	0	1
NM_008069	0	1
NM_008089	0	1
NM_008091	0	1
NM_008095	0	1
NM_008125	0	1
NM_008126	0	1
NM_008154	0	1
NM_008166	0	1
NM_008168	0	1
NM_008178	0	1
NM_008187	0	1
NM_008216	0	1
NM_008244	0	1
NM_008265	0	1
NM_008270	0	1
NM_008284	0	1
NM_008285	0	1
NM_008299	0	1
NM_008343	0	1
NM_008381	0	1
NM_008408	0	1
NM_008415	0	1
NM_008463	0	1
NM_008467	0	1
NM_008470	0	1
NM_008486	0	1
NM_008516	0	1
NM_008519	0	1
NM_008546	0.00059485329436304	0.999405146705637
NM_008597	0	1
NM_008606	0	1
NM_008608	0	1
NM_008670	0	1
NM_008672	0	1
NM_008674	0	1
NM_008728	0	1
NM_008729	0	1
NM_008731	0	1
NM_008736	0	1
NM_008739	0	1
NM_008746	0	1
NM_008751	0	1
NM_008764	0	1
NM_008781	0	1
NM_008808	0	1
NM_008809	0	1
NM_008827	0	1
NM_008845	0	1
NM_008857	0	1
NM_008864	0	1
NM_008875	0	1
NM_008879	0	1
NM_008908	0	1
NM_008926	0	1
NM_008955	0	1
NM_008978	0	1
NM_008986	0	1
NM_009015	0	1
NM_009016	0	1
NM_009027	0	1
NM_009033	0	1
NM_009058	0.0300994818331097	0.96990051816689
NM_009063	0	1
NM_009068	0	1
NM_009107	0	1
NM_009112	0	1
NM_009113	0	1
NM_009125	0	1
NM_009160	0	1
NM_009178	0	1
NM_009228	0	1
NM_009238	0	1
NM_009277	0	1
NM_009291	0	1
NM_009311	0	1
NM_009321	0	1
NM_009322	0	1
NM_009331	0	1
NM_009366	0	1
NM_009369	0	1
NM_009373	0	1
NM_009380	0	1
NM_009403	0	1
NM_009413	0	1
NM_009417	0	1
NM_009428	0	1
NM_009481	0	1
NM_009500	0	1
NM_009506	0	1
NM_009516	0	1
NM_009519	0	1
NM_009584	0	1
NM_009605	0	1
NM_009622	0	1
NM_009624	0	1
NM_009636	0	1
NM_009637	0	1
NM_009645	0	1
NM_009719	0	1
NM_009731	0	1
NM_009763	0	1
NM_009772	0	1
NM_009777	0	1
NM_009787	0	1
NM_009790	0	1
NM_009840	0	1
NM_009848	0	1
NM_009861	0	1
NM_009897	0	1
NM_009914	0	1
NM_009915	0	1
NM_009917	0	1
NM_009920	0	1
NM_009933	0	1
NM_009953	0	1
NM_009990	0	1
NM_009995	0	1
NM_010014	0	1
NM_010074	0	1
NM_010127	0	1
NM_010181	0	1
NM_010214	0	1
NM_010276	0	1
NM_010277	0	1
NM_010301	0	1
NM_010312	0	1
NM_010326	0	1
NM_010330	0	1
NM_010353	0	1
NM_010362	0	1
NM_010373	0	1
NM_010402	0	1
NM_010434	0	1
NM_010441	0	1
NM_010447	0	1
NM_010455	0	1
NM_010462	0	1
NM_010469	0	1
NM_010477	0	1
NM_010478	0	1
NM_010498	0	1
NM_010511	0	1
NM_010544	0	1
NM_010549	0	1
NM_010589	0	1
NM_010602	0	1
NM_010635	0	1
NM_010660	0	1
NM_010670	0	1
NM_010672	0	1
NM_010684	0	1
NM_010703	0	1
NM_010714	0	1
NM_010716	3.04853823074325e-06	0.999996951461769
NM_010741	0	1
NM_010773	0	1
NM_010815	0	1
NM_010824	0	1
NM_010836	0	1
NM_010890	0	1
NM_010898	0	1
NM_010930	0	1
NM_010947	0	1
NM_010980	0	1
NM_011041	0	1
NM_011060	0	1
NM_011124	0	1
NM_011141	0	1
NM_011146	0	1
NM_011164	0	1
NM_011171	0	1
NM_011214	0	1
NM_011216	0	1
NM_011239	0	1
NM_011240	0	1
NM_011279	0	1
NM_011290	0	1
NM_011295	0	1
NM_011304	0	1
NM_011306	0	1
NM_011330	0	1
NM_011363	0	1
NM_011364	0	1
NM_011369	0	1
NM_011405	0	1
NM_011414	0	1
NM_011427	0	1
NM_011430	0	1
NM_011439	0	1
NM_011491	0	1
NM_011492	0	1
NM_011503	0	1
NM_011533	0	1
NM_011537	0	1
NM_011571	0	1
NM_011576	0	1
NM_011635	0	1
NM_011669	0	1
NM_011682	0	1
NM_011695	0	1
NM_011739	0	1
NM_011743	0	1
NM_011786	0	1
NM_011810	0	1
NM_011825	0	1
NM_011827	2.22044604925031e-16	1
NM_011850	0	1
NM_011893	0	1
NM_011896	0	1
NM_011900	0	1
NM_011906	0	1
NM_011910	0	1
NM_011920	0	1
NM_011922	0	1
NM_011924	0	1
NM_011978	0	1
NM_011991	0	1
NM_011998	0	1
NM_012000	0	1
NM_012043	0	1
NM_012053	0	1
NM_013468	0	1
NM_013469	0	1
NM_013484	0	1
NM_013505	0	1
NM_013512	0	1
NM_013518	0	1
NM_013522	0	1
NM_013530	0	1
NM_013535	0	1
NM_013538	0	1
NM_013570	0	1
NM_013584	0	1
NM_013598	0	1
NM_013615	0	1
NM_013638	0	1
NM_013640	0	1
NM_013652	0	1
NM_013668	0	1
NM_013690	0	1
NM_013699	0	1
NM_013710	0	1
NM_013751	0	1
NM_013769	0	1
NM_013783	0	1
NM_013785	0	1
NM_013810	0	1
NM_013825	0	1
NM_013837	0	1
NM_013841	0	1
NM_013866	0	1
NM_013915	0	1
NM_013918	0	1
NM_013923	0	1
NM_015728	0	1
NM_015743	0	1
